operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aer Lingus",2794,2508,3250,3442,2915,3441,4333,4365,2904,2125,,,32077
"Aeromexico",,1444,2941,3160,2094,2677,4023,4229,2329,2420,2282,2210,29809
"Air Canada ",16453,15736,17490,18296,22467,24923,32129,36462,26729,21059,15320,17301,264365
"Air China",5560,3972,4429,5533,4880,5848,5796,5826,5107,5477,4849,5428,62705
"Air France",7173,5523,7837,11512,12259,12118,13309,13163,12556,11892,6860,7331,121533
"Air New Zealand",9993,5516,7070,5927,6194,5577,6196,5641,4792,3932,5084,5646,71568
"AirTran Airways",3603,2404,3687,5735,12854,19491,22574,20256,12908,11103,11103,10963,136681
"Alaska Airlines",41904,38210,46084,46735,41115,42290,42762,42971,36861,37979,37756,38716,493383
"All Nippon Airways",5718,4065,4697,5776,4549,5416,7233,7530,6331,6543,6438,6480,70776
"Allegiant Air",1166,,,,,,,,,,,,1166
"American Airlines",120784,107282,130761,139297,142135,141409,150289,148256,135069,146842,132095,129652,1623871
"American Eagle Airlines",3704,3226,5706,5469,5448,5606,5795,5048,1965,1926,1131,,45024
"Asiana Airlines",5517,4041,4319,3935,4273,4157,5058,4964,4203,3723,4339,4573,53102
"British Airways",14435,11577,15706,15797,16380,18492,20545,20059,19325,18727,13751,11911,196705
"Cathay Pacific",21487,15004,18153,22148,20156,18157,21972,23279,15937,16579,18346,20249,231467
"China Airlines",10895,7442,10519,10796,10517,9194,10703,12093,9029,7120,9362,10092,117762
"Delta Air Lines",54734,47196,57895,68444,70074,77259,87560,85548,62470,65476,57082,60141,793879
"EVA Airways",13318,9638,10914,12017,10678,10932,13008,16186,10596,9933,11902,12927,142049
"Emirates ",3393,2502,3353,3342,6243,6604,7948,8133,5819,6243,6416,8852,68848
"Frontier Airlines",12241,10447,13354,13232,14414,14233,15347,15557,14528,15205,14313,13138,166009
"Hawaiian Airlines",6906,6455,7672,7136,7176,7230,7496,7870,7055,7750,7033,7018,86797
"Horizon Air ",3776,3782,4753,4762,6314,9102,9313,9369,8779,8602,8439,8661,85652
"Japan Airlines",5870,4783,5246,6287,4675,5534,7410,7512,6872,6647,6306,6240,73382
"Jet Airways",1736,,,,,,,,,,,,1736
"JetBlue Airways ",12774,11518,14254,14872,21978,22532,25310,25497,19966,20958,16821,19297,225777
"KLM Royal Dutch Airlines",6833,5107,7483,11341,10891,11824,12837,12645,12011,11028,6151,6705,114856
"Korean Air Lines",7516,3722,4057,3768,3603,3809,5879,7896,4536,3861,3488,4150,56285
"Lufthansa German Airlines",17081,14177,17266,16659,17056,17554,20107,20011,18695,19211,16651,16892,211360
"Mesa Airlines",,,,,,,,,,,,2115,2115
"Mesaba Airlines",,1653,1583,1971,2411,277,212,,,,,1630,9737
"Mexicana Airlines",10922,9164,10908,11280,6433,7872,10973,11163,6671,8900,9354,8997,112637
"Miami Air International",,,,,55,,,,,,,,55
"Midwest Airlines",1758,2001,2551,2771,2808,2736,2949,2820,2527,2436,2158,2305,29820
"Northwest Airlines",46518,41314,47603,51829,57199,65495,75825,70267,57433,53157,47996,47953,662589
"Philippine Airlines",12889,9672,9753,11398,9703,8826,10388,12581,7985,7214,7195,8258,115862
"Qantas Airways",5029,3642,5328,5631,5443,5558,6498,6446,5337,5039,4676,4534,63161
"Singapore Airlines",14784,9159,11139,11594,10526,11133,15006,16238,13386,12263,12644,14172,152044
"SkyWest Airlines",100814,86838,109219,109151,112404,133041,138071,137643,130174,129549,126710,126431,1440045
"Southwest Airlines",85416,81732,103739,108403,127300,129412,130729,133504,127740,140216,131186,125652,1425029
"Sun Country Airlines",596,,,549,1502,3226,3912,3930,2826,,836,2997,20374
"TACA",5167,3727,4169,3905,4086,4792,5598,5647,3870,3257,3582,4947,52747
"US Airways",57543,48203,61484,67801,77112,77576,82809,78754,68226,71823,61642,58144,811117
"United Airlines",48072,40608,51157,55284,60776,67991,76766,77056,60945,62321,54167,60291,715434
"United Airlines - Pre 07/01/2013",460313,415071,513913,511489,512297,542832,593673,595848,509738,514846,472273,494128,6136421
"Virgin America",69070,70879,91393,87155,94827,95473,110443,117079,106231,111971,108017,109590,1172128
"Virgin Atlantic",7928,6472,7913,8626,9314,9802,10629,10428,9952,9750,6811,7505,105130
"WestJet Airlines",,,,,,1703,1624,1598,1405,1325,,,7655
"World Airways",,,,,,,255,,,,,,255
