operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"ATA Airlines",48,,,,,158,127,201,,100,,,634
"Aer Lingus",,,,,,,,,,744,3471,2959,7174
"Aeromexico",,,262,,,,,,,,,,262
"Air Canada ",19541,19860,21421,22215,25673,27720,39203,39798,29614,27712,20070,21267,314094
"Air China",4845,3644,5603,6631,7154,6915,7874,8175,7209,7201,6991,6366,78608
"Air France",7200,6219,8747,9832,10541,10911,13132,11746,10708,10297,6794,6828,112955
"Air New Zealand",9254,6650,9226,8547,7868,8092,7865,6820,7265,5192,6047,8565,91391
"AirTran Airways",4171,2974,3774,6618,8127,14354,19158,17469,9975,11989,7809,6893,113311
"Alaska Airlines",51086,49820,56289,59494,56247,56557,64215,66663,52513,48690,54777,52233,668584
"All Nippon Airways",6144,5311,6142,6219,5645,6836,7258,7493,6210,6403,5875,5781,75317
"American Airlines",124647,111975,140814,146290,152626,151272,164935,159954,141525,153432,145173,135300,1727943
"American Eagle Airlines",3042,2902,3611,4589,5298,5001,5351,5318,3966,4141,3985,3633,50837
"Ameriflight",,,,,,,,,,,8,2,10
"Asiana Airlines",4952,3857,5000,4968,5165,4909,5235,5281,4195,3855,4551,4131,56099
"Atlantic Southeast Airlines",2571,2338,2968,3167,1787,,,,,,,,12831
"British Airways",16749,13263,18010,19308,17925,19128,20264,20518,18977,19560,14826,15583,214111
"Cathay Pacific",11383,8994,11304,11090,10750,10513,11632,11754,10556,12789,17223,18000,145988
"China Airlines",11754,9053,11874,11521,11319,11548,12044,12109,8819,7334,8628,9496,125499
"Delta Air Lines",47420,44361,58985,65640,74874,88180,100214,97666,72297,74773,65893,60427,850730
"EVA Airways",14085,11353,14629,13778,13495,14127,15045,15754,12841,12135,12088,12241,161571
"ExpressJet Airlines",,,,,,3655,6437,7318,6244,6382,5673,5687,41396
"Frontier Airlines",17887,18251,23221,25255,26789,31450,27281,25058,19235,19528,17153,13048,264156
"Hawaiian Airlines",7359,6439,7598,7294,7416,7228,7100,7600,7157,7497,6892,6025,85605
"Horizon Air ",4126,4100,4916,4553,4837,5472,5507,5717,3254,2540,2455,2791,50268
"Japan Airlines",9594,7561,8572,8979,8488,8987,9961,9814,8377,8688,7937,6962,103920
"JetBlue Airways ",,,,,18299,20054,21701,24867,19069,20845,16929,17060,158824
"KLM Royal Dutch Airlines",6562,6708,9186,11566,11489,12384,12874,11967,12486,12304,8284,8559,124369
"Korean Air Lines",4199,4148,4410,4727,4782,4220,6087,6580,4529,3721,3763,3380,54546
"Lufthansa German Airlines",19572,17080,19163,18051,18569,17421,19335,18278,17805,18980,17333,16185,217772
"Mesa Airlines",1125,460,1133,1177,1228,1052,1285,1277,961,895,928,302,11823
"Mexicana Airlines",7039,4601,5893,7270,6797,5448,8220,8025,5219,5857,5499,6500,76368
"Miami Air International",,,,,,,,,,167,,,167
"Midwest Airlines",1922,1610,2083,3872,7543,10072,10679,10072,6796,6372,3498,3216,67735
"Northwest Airlines",46184,42816,49987,55743,66088,69781,74193,69370,56345,56811,50273,50446,688037
"Philippine Airlines",13763,12189,13559,13922,13556,11953,12930,12912,10642,9305,9353,9210,143294
"Qantas Airways",6894,2850,4450,6751,5785,7475,7687,8255,6528,4982,5278,8338,75273
"Singapore Airlines",18403,14330,17656,17515,16971,16804,18998,18953,15852,12962,13877,15917,198238
"SkyWest Airlines",105094,95708,114971,109152,112582,115988,114992,115892,100544,106250,98913,96156,1286242
"Southwest Airlines",,,,,,,,9459,54162,54503,67056,65149,250329
"Spirit Airlines",,,,,2349,3888,2906,2868,412,,,,12423
"Sun Country Airlines",2596,2050,3371,2985,2848,3776,5523,7367,4646,4769,5440,5589,50960
"TACA",5352,4159,4661,4538,4541,5897,8082,8353,4730,4390,4432,5437,64572
"US Airways",65662,55628,64675,70706,72286,82601,91686,87407,66857,72422,63197,59030,852157
"United Airlines",47307,40568,47035,51632,58486,65770,71437,72612,54116,59504,51040,51404,670911
"United Airlines - Pre 07/01/2013",530942,490368,595091,590750,616456,631741,653260,661554,556186,594509,552317,539308,7012482
"Virgin America",,,,,,,,16406,20342,33433,35546,38691,144418
"Virgin Atlantic",9671,7869,9754,10223,8838,10225,11714,11195,11093,9614,7723,8620,116539
