operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aeromexico",3954,2865,3252,3061,2829,3034,5822,6299,5288,5667,6003,9747,57821
"Air Canada ",17727,16837,19984,21787,24680,28919,36879,36991,30091,30159,20792,22962,307808
"Air China",7541,6064,7292,8737,8011,7302,8771,9032,8581,7718,7814,7991,94854
"Air France",7673,6358,8717,12097,16052,19403,20870,20181,18734,13977,7170,8585,159817
"Air New Zealand",11087,7218,7866,9384,9170,8303,9521,9250,9710,7267,8458,9678,106912
"AirTran Airways",6615,5370,6613,6726,6855,9755,9870,10735,9609,10896,3924,3884,90852
"Alaska Airlines",41122,44737,44817,45584,45410,47623,50535,54784,47981,46832,46479,50247,566151
"All Nippon Airways",7415,6546,6965,6607,6844,6976,7418,7516,6501,5998,6244,6429,81459
"American Airlines",114363,103996,125005,128519,131973,130718,131615,134893,121517,131190,115533,125210,1494532
"Asiana Airlines",8615,6619,7079,8302,8363,8165,8801,8771,7544,5764,5586,6766,90375
"Atlas Air, Inc",,,,,,,,,65,,,,65
"British Airways",17498,14210,18332,18490,18224,18434,19581,18714,18661,18665,15264,16320,212393
"Cathay Pacific",19550,15382,18296,18582,17817,17916,17961,19222,16986,15690,17463,17414,212279
"China Airlines",10132,7775,9057,10513,10119,10833,11401,10949,7288,7176,8505,9498,113246
"China Eastern",,,,1054,5818,6336,6565,6718,6195,4895,5565,5543,48689
"Compass Airlines",,,,,,,,,24629,27056,26033,27144,104862
"Delta Air Lines",94613,84048,110224,106838,119230,146843,162389,160329,123901,125318,102185,114846,1450764
"EVA Airways",14419,11183,13136,12873,13356,13659,16313,15527,12568,11916,12649,13817,161416
"Emirates ",10452,9110,10334,9218,8809,9640,10003,10393,9672,8513,8770,10394,115308
"Frontier Airlines",14712,12633,14516,14658,16292,16200,16041,17546,18286,19265,15195,14299,189643
"Hawaiian Airlines",8458,7412,8517,8372,8606,8270,8536,8845,7920,8230,7829,8631,99626
"Horizon Air ",5147,5505,5599,5095,5025,5146,4439,5703,4821,4714,4722,5482,61398
"Japan Airlines",6430,5062,5823,5702,5602,6398,7299,7344,5050,4880,3993,4291,67874
"JetBlue Airways ",40582,35409,44021,43250,46216,49622,51884,51419,43798,46311,40669,46125,539306
"KLM Royal Dutch Airlines",5558,5281,6434,10999,11274,12040,12357,12426,11669,10862,6089,6824,111813
"Korean Air Lines",7046,5592,6237,6573,6213,6556,8371,8567,6794,6221,5390,5947,79507
"LAN Peru",2297,3013,3642,2619,2633,2673,2732,2889,2619,2399,2299,2334,32149
"Lufthansa German Airlines",18215,14406,19188,22150,22483,24075,26240,25167,23362,23387,16600,16132,251405
"Philippine Airlines",10473,9744,10774,11010,10620,10065,12214,10890,8322,8358,8765,9053,120288
"Republic Airlines",,,,,,,,,,,67,,67
"SAS Airlines",,,,4504,6103,5879,6511,6637,6356,6232,3905,4371,50498
"Servisair",,,,120,,,,,,75,,,195
"Singapore Airlines",20256,16780,17389,15269,14589,15351,16004,16182,14740,13183,13958,14995,188696
"SkyWest Airlines",164159,156468,183924,181834,183356,175214,159010,175456,148307,156133,142523,158062,1984446
"Southwest Airlines",115483,108892,132940,134858,140519,140791,132913,141269,128474,132537,125368,139293,1573337
"Sun Country Airlines",2976,2359,2663,2835,3928,6134,8219,7631,5387,5369,4484,6845,58830
"Swiss International",6317,5482,6597,6342,6372,6429,6786,6702,6416,6550,5541,5953,75487
"Swissport USA",,,,399,300,,276,,,,,214,1189
"TACA",6454,5074,5678,5297,5339,5238,6289,7057,4744,4056,4647,4978,64851
"US Airways",60721,53698,66848,65495,74165,74291,73551,76465,63532,68869,61604,72652,811891
"United Airlines",209609,194470,218696,218562,238713,288888,819779,858459,728209,745451,655597,723291,5899724
"United Airlines - Pre 07/01/2013",399281,356201,452354,459844,494785,499309,,,,,,,2661774
"Virgin America",135405,127021,153547,159647,168483,174589,175855,179391,150637,163015,144272,167801,1899663
"Virgin Atlantic",8878,6604,9764,9694,10407,10722,11275,11175,10712,10860,8487,9830,118408
"WestJet Airlines",,,,570,6798,7091,7856,7918,6838,5874,,,42945
"XL Airways France",,,,,,1570,3046,2742,,,,,7358
