operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aeromexico",2395,2570,3000,3139,3285,3529,3054,3500,3411,3730,3592,4050,39255
"Air Berlin",,,,,1337,2158,2620,2294,2357,1455,,,12221
"Air Canada ",14300,14135,17802,17503,22703,27886,37070,34916,26703,23827,18570,21057,276472
"Air China",5614,4574,5125,7290,6997,6903,7392,7823,6905,7025,6586,7108,79342
"Air France",7406,6152,8442,9904,12576,13640,16795,15705,12693,12812,6827,7180,130132
"Air New Zealand",6234,4966,6352,6101,6465,6049,5392,5646,5878,4619,5375,7387,70464
"AirTran Airways",7542,6139,7932,10509,13360,22294,24266,24068,15982,15495,13114,13436,174137
"Alaska Airlines",32010,28539,33616,35082,34519,41812,45953,47458,37518,37251,37746,37743,449247
"All Nippon Airways",7204,6011,5960,6164,5901,6603,7195,7403,5931,6853,6508,6341,78074
"American Airlines",119173,105641,131215,137661,142320,140351,154143,151132,133725,149109,127751,122938,1615159
"Asiana Airlines",5195,4156,4331,4544,4681,4837,4846,4861,4965,3936,4082,4509,54943
"British Airways",11239,12481,13186,13659,14844,14844,20305,19746,18882,18360,14198,13022,184766
"Cathay Pacific",22970,17299,20488,20953,21458,20533,22972,23090,19615,18773,19043,19337,246531
"China Airlines",11200,7336,10541,9518,11197,10810,11308,11489,8887,7996,8522,10219,119023
"Delta Air Lines",52648,86258,110541,117427,130171,150529,163342,159660,134115,138385,119331,114053,1476460
"EVA Airways",15627,10914,12619,13011,13719,13893,15125,15309,9695,8556,9313,9982,147763
"Emirates ",9487,7280,9274,9618,9590,9257,9947,9841,8648,7235,6923,9371,106471
"Frontier Airlines",12344,11427,13732,13651,16382,17606,17921,17962,16998,21101,17627,15523,192274
"Hawaiian Airlines",7323,6001,7914,7254,7663,7160,7538,7849,7222,7262,7063,8266,88515
"Horizon Air ",8058,7906,9160,8313,8596,10495,10911,11271,9127,9061,7098,6911,106907
"Japan Airlines",7244,5554,6192,5943,5992,6092,6878,7414,6381,6606,5343,5198,74837
"JetBlue Airways ",25047,25315,30857,33805,38554,38490,39810,39800,33256,38555,33514,29955,406958
"KLM Royal Dutch Airlines",6744,5740,7359,8598,10611,10559,11265,11191,10827,10679,7638,7497,108708
"Korean Air Lines",4972,3526,4055,3815,3952,6039,7718,8670,6540,6020,3788,3886,62981
"LAN Peru",,,,,,,3400,3257,2799,3133,2769,2949,18307
"Lufthansa German Airlines",17139,11826,17483,13884,17743,17762,20325,19142,17946,19062,16562,16312,205186
"Mesa Airlines",582,6062,10899,11634,10826,9839,9839,9603,9525,9840,7341,4767,100757
"Mesaba Airlines",1513,2586,3861,3995,231,65,,1750,5026,1422,,,20449
"Mexicana Airlines",12417,9749,10780,10294,9852,10051,12169,8780,,,,,84092
"Midwest Airlines",1690,1783,2616,3527,,,,,,,,,9616
"Northwest Airlines",42760,,,,,,,,,,,,42760
"Pacific Aviation",,,,,,160,,,,,,,160
"Philippine Airlines",12267,10152,12071,12087,12434,11066,12399,12456,10508,9663,9583,8896,133582
"Qantas Airways",4273,3349,4455,4807,4509,4563,5062,4661,4461,3803,4427,5459,53829
"Republic Airlines",,,,,5695,6196,6289,6307,4316,,,,28803
"Servisair",,,,,73,,,118,,,,,191
"Singapore Airlines",14954,11769,14725,14408,13293,13879,15832,16346,13748,13288,13520,14311,170073
"SkyWest Airlines",119118,105492,134562,128426,132527,142901,151429,150294,133567,134574,140542,136934,1610366
"Southwest Airlines",108293,94371,116937,115675,123342,129921,134113,136740,125883,137622,131737,126996,1481630
"Sun Country Airlines",463,,,,903,2576,3944,3950,4652,2398,2430,4597,25913
"Swiss International",,,,,,5217,5890,5595,5509,5686,4927,5196,38020
"TACA",4829,3642,3968,4047,4099,4709,6107,7357,4335,3916,3943,4923,55875
"US Airways",54480,38599,43313,46133,56729,57991,62674,65514,61589,66429,60013,61471,674935
"United Airlines",51185,44228,55239,56878,63327,71283,78603,74853,63438,67984,58234,63988,749240
"United Airlines - Pre 07/01/2013",466019,429803,529590,529581,565635,568326,600649,609590,540699,561007,506053,508790,6415742
"Virgin America",93097,86113,102834,100443,100495,99205,104181,108429,90399,105270,110941,108512,1209919
"Virgin Atlantic",7936,6846,8570,7721,10103,10480,11363,11111,10588,10112,7153,6493,108476
"WestJet Airlines",,,,,4147,4592,8167,8763,6500,5342,,,37511
