operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aer Lingus",2858,2664,4089,4456,4648,5745,6263,5724,5305,4335,2765,3282,52134
"Air Canada ",19756,19173,21617,19293,22634,26446,36389,35117,25770,22245,16897,19989,285326
"Air China",7603,5766,7017,6903,6592,6812,6789,6408,5548,5936,5596,4359,75329
"Air France",6827,6224,7697,11633,11813,12334,13250,12870,12099,11273,6271,7511,119802
"Air New Zealand",8057,6556,9070,8358,8422,8200,7279,7450,7560,5265,5146,8216,89579
"AirTran Airways",4463,3533,3636,5856,14016,18526,23650,20860,4094,6790,3387,4374,113185
"Alaska Airlines",49309,47588,54249,50557,57732,59684,62578,62516,48289,49578,47006,45723,634809
"All Nippon Airways",6541,5349,6042,5901,5832,6476,6625,7083,5909,5855,5055,5332,72000
"Allegiant Air",,,,,,1514,1882,2028,1258,1274,1387,1670,11013
"American Airlines",125541,113147,134024,134928,153119,153472,157154,152220,139336,147963,126470,135310,1672684
"American Eagle Airlines",3209,3223,3763,3446,3604,3749,4100,3799,3669,4345,3827,4258,44992
"Ameriflight",1,,,,,,1,,,,,,2
"Asiana Airlines",4890,3921,4190,4757,4778,4788,5090,5192,3800,4465,4296,4185,54352
"BelAir Airlines",,,,,,,1065,727,505,,,,2297
"British Airways",15463,13234,18547,16343,17387,19260,20516,19878,18134,17805,13120,16203,205890
"Cathay Pacific",24469,17784,21188,16282,19394,19672,21602,21929,15849,14645,17723,17796,228333
"China Airlines",11257,8435,11446,10678,10255,11206,11340,11625,7564,7543,7219,8110,116678
"Delta Air Lines",51379,47707,60275,59063,63574,78437,85692,81503,65409,66267,60788,64546,784640
"EVA Airways",13815,11677,13903,13404,12101,12267,14390,15680,10063,10374,10088,11122,148884
"Emirates ",,,,,,,,,,,,1147,1147
"ExpressJet Airlines",4976,5139,5837,5469,5481,6140,6328,5872,125,,,,45367
"Frontier Airlines",11823,12021,15335,14963,16869,18750,20948,19526,14506,14132,13115,13270,185258
"Hawaiian Airlines",7063,6903,7263,8194,7648,6619,6692,8037,6939,7103,6504,6494,85459
"Horizon Air ",2761,3096,3724,3441,5305,5144,5277,5397,3357,3314,4115,4422,49353
"Japan Airlines",8395,6212,7466,7397,6973,8299,9384,9454,6664,6404,5819,5390,87857
"Jet Airways",,,,,,2121,5638,8709,4426,4460,5216,4102,34672
"JetBlue Airways ",17019,15547,18292,16586,23193,24304,23553,20776,15120,14084,13432,13813,215719
"KLM Royal Dutch Airlines",8634,7591,9720,10339,11297,12650,13439,12546,12434,12120,7334,8163,126267
"Korean Air Lines",4323,3485,3997,3877,4112,4112,6799,7800,4264,3419,3756,4604,54548
"Lufthansa German Airlines",17668,15688,17542,17152,17160,17888,19343,18008,17530,18231,15971,16254,208435
"Mexicana Airlines",7805,6211,7895,7055,7900,7464,8249,8215,6587,7195,7706,10060,92342
"Miami Air International",,,,136,86,,58,85,,,,,365
"Midwest Airlines",3172,3032,3687,3460,5191,7152,7723,6961,2772,2060,1538,2102,48850
"Northwest Airlines",50918,45738,49034,55532,65829,71796,77317,68301,55961,57345,47510,49923,695204
"Philippine Airlines",14114,11724,11980,13610,13333,11368,12593,12717,8663,8722,8947,8172,135943
"Qantas Airways",8318,4732,6653,6346,5717,6145,5888,6831,4482,4375,5781,6791,72059
"Singapore Airlines",16825,12814,15328,15508,15910,15243,16283,18859,13740,11881,13515,14446,180352
"SkyWest Airlines",92270,98064,107729,93108,96509,98866,105092,108278,110661,118662,102315,105295,1236849
"Southwest Airlines",61789,66019,88882,83803,94311,97016,94053,100106,89266,102549,87124,95059,1059977
"Sun Country Airlines",2696,2092,2950,1948,2857,3978,4596,4435,599,,741,2794,29686
"TACA",6015,3594,3987,4075,2542,3392,5107,5007,4005,3721,3593,4922,49960
"US Airways",58994,54559,68830,68479,73721,72065,82203,81512,73858,73858,66074,68046,842199
"United Airlines",46168,41764,49755,49942,57842,65182,72518,70681,53331,58827,49228,57225,672463
"United Airlines - Pre 07/01/2013",507469,495885,589270,561432,589425,594293,621993,634206,517532,536754,457150,504587,6609996
"Virgin America",34620,37526,62231,73007,83038,84592,97257,94986,80429,81388,83874,85284,898232
"Virgin Atlantic",8359,7438,9284,9246,8615,9473,10576,10116,9879,9589,6491,8987,108053
