operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aeromexico",3900,2456,2743,2894,2982,2963,3435,3307,2537,3320,3668,3070,37275
"Air Berlin",,,,,1816,3382,3638,3473,2515,1188,,,16012
"Air Canada ",17047,17047,17784,18722,24473,27405,33697,34061,28998,23575,18656,18194,279659
"Air China",7482,5982,6957,7078,7353,7211,7645,7975,7356,7066,7075,7118,86298
"Air France",7366,6439,8568,10449,14156,20728,22919,21521,21181,12365,7774,8180,161646
"Air New Zealand",9202,6692,8065,7350,7131,8126,8195,7440,7704,6477,7202,10165,93749
"AirTran Airways",8735,6925,10967,14844,18793,23408,26605,20875,13200,12400,9862,9397,176011
"Alaska Airlines",37086,34118,39078,40010,39128,44267,44393,47230,42614,41913,45819,40376,496032
"All Nippon Airways",7871,7097,7464,6833,6812,7499,7969,7943,7230,6931,6675,6870,87194
"American Airlines",119287,109025,124085,136355,143443,139460,146752,141531,123554,128605,120389,118746,1551232
"Asiana Airlines",8278,5786,6440,7828,8557,8328,8804,8778,8217,7153,7555,7795,93519
"British Airways",16944,14778,18397,17755,18722,18661,19943,19324,18977,19106,14982,12962,210551
"Cathay Pacific",21222,16518,19241,21118,21197,20405,19599,20362,18554,16146,17839,17936,230137
"China Airlines",10789,8045,9022,9981,9354,10194,10970,11231,8433,7681,8787,9162,113649
"Delta Air Lines",95314,87815,106826,110635,117201,149639,167726,160692,127716,130606,112471,104872,1471513
"EVA Airways",14107,11043,11918,11052,12236,13595,16050,16094,10252,10085,12295,13130,151857
"Emirates ",10499,9438,10273,9612,9685,9712,9981,10066,9308,7320,8305,9968,114167
"Frontier Airlines",17222,16405,19122,18647,19587,17895,18697,20010,18632,19427,18687,15836,220167
"Hawaiian Airlines",8686,7774,6768,8109,8521,7945,8029,8508,7567,8351,8100,8002,96360
"Horizon Air ",5760,5633,5927,5437,5496,5087,5276,6039,5027,5348,5252,5538,65820
"Japan Airlines",6499,5102,5445,5509,5346,6365,7381,7444,6399,5493,5556,5695,72234
"JetBlue Airways ",38137,37617,41893,43199,43952,45485,48784,48467,40960,43301,41245,41541,514581
"KLM Royal Dutch Airlines",5881,5253,7321,11011,11365,11826,12568,12278,11932,11559,5657,5937,112588
"Korean Air Lines",7053,5384,5121,6358,6688,6836,8500,8527,6834,6123,5712,6258,79394
"LAN Peru",3408,2350,3022,2669,2970,2765,2736,2766,2590,3378,2982,2336,33972
"Lufthansa German Airlines",17769,14111,19340,22468,22853,23233,26065,24858,22741,24592,20541,17116,255687
"Philippine Airlines",12126,10407,10614,11930,11675,10009,11610,10643,5574,6074,7185,7241,115088
"Servisair",77,,51,,,62,,115,,57,,57,419
"Singapore Airlines",14727,11766,13683,14765,14308,14636,16085,16282,15133,13613,13923,15176,174097
"SkyWest Airlines",152916,154191,169077,176628,185450,180716,191062,196079,172304,188016,168727,168270,2103436
"Southwest Airlines",116384,107190,117459,124912,127644,131366,136032,142782,124771,136201,131385,125538,1521664
"Sun Country Airlines",2170,1930,2592,2672,3487,4718,5677,5939,4009,3449,3893,4461,44997
"Swiss International",5446,4884,5820,6222,6238,6244,6733,6601,6434,6509,5521,5467,72119
"Swissport USA",,,,167,,,,,,,,,167
"TACA",5885,4855,5375,4938,5142,5680,6481,7519,4835,4144,4613,5618,65085
"US Airways",53668,46207,56319,57109,69551,72186,77148,74201,64526,69067,66984,64984,771950
"United Airlines",70573,60508,70430,115755,133519,153465,146687,170203,185621,218215,214589,217757,1757322
"United Airlines - Pre 07/01/2013",541667,499978,576889,546655,566000,612566,675737,660175,566581,509109,431131,411122,6597610
"Virgin America",143826,140515,165172,164545,166975,167647,179973,189177,165078,163704,151690,150071,1948373
"Virgin Atlantic",7746,6058,9245,9839,13250,12713,14040,13909,13767,11910,7902,7800,128179
"WestJet Airlines",,2,,293,7125,7562,8219,8053,6667,6634,,,44555
"XL Airways France",,,,,106,2023,3182,2436,260,,,,8007
