operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"ATA Airlines",,,,,,,27271,27472,17341,17698,17139,15373,122294
"Air Canada ",,,,,,,35156,34878,24473,22176,18143,19200,154026
"Air Canada Jazz",,,,,,,,,,,,554,554
"Air China",,,,,,,6263,4204,4416,4329,4550,4261,28023
"Air France",,,,,,,12050,11230,10731,10515,7121,7158,58805
"Air New Zealand",,,,,,,4998,4672,4565,3178,4085,7406,28904
"AirTran Airways",,,,,,,8055,7796,7057,6680,5892,5847,41327
"Alaska Airlines",,,,,,,51587,56873,43198,40496,47902,43437,283493
"All Nippon Airways",,,,,,,6545,6739,5875,5669,5481,5355,35664
"American Airlines",,,,,,,166577,162064,135043,138090,132066,127085,860925
"American Eagle Airlines",,,,,,,5493,5233,4240,4669,4390,4423,28448
"Asiana Airlines",,,,,,,5041,4099,4792,4674,4814,4768,28188
"Atlantic Southeast Airlines",,,,,,,1552,1735,,,,,3287
"BelAir Airlines",,,,,,,325,353,108,,,,786
"Boeing Company",,,,,,,,18,,,,,18
"British Airways",,,,,,,20632,20312,20455,19453,15264,15058,111174
"Cathay Pacific",,,,,,,11010,11753,8370,9571,9990,9813,60507
"China Airlines",,,,,,,13638,14610,9154,8919,8954,9680,64955
"Delta Air Lines",,,,,,,97510,97343,85638,84217,76492,76200,517400
"EVA Airways",,,,,,,14142,13524,9931,10122,10713,11032,69464
"Frontier Airlines",,,,,,,19234,17109,13426,12585,13080,12855,88289
"Hawaiian Airlines",,,,,,,7579,7923,7735,7556,6792,7024,44609
"Horizon Air ",,,,,,,5284,5572,4648,4470,4339,4113,28426
"Icelandair",,,,,,,4540,4691,1996,809,,,12036
"Independence Air",,,,,,,10843,9191,5218,4550,1555,,31357
"Japan Airlines",,,,,,,9195,9296,7087,7147,6925,7094,46744
"KLM Royal Dutch Airlines",,,,,,,9978,9666,9562,9383,7535,7324,53448
"Korean Air Lines",,,,,,,6153,8856,4344,4115,4514,4474,32456
"Lufthansa German Airlines",,,,,,,22389,21512,20535,20840,15301,14696,115273
"Mesa Airlines",,,,,,,2636,2725,1781,1502,1201,1158,11003
"Mexicana Airlines",,,,,,,7751,7156,3986,5011,5431,5890,35225
"Miami Air International",,,,,,,,,,28,,,28
"Midwest Airlines",,,,,,,1797,1552,2913,1594,1468,1739,11063
"Northwest Airlines",,,,,,,71460,63608,53995,53136,51058,52679,345936
"Philippine Airlines",,,,,,,12828,12856,8323,11573,9116,7623,62319
"Singapore Airlines",,,,,,,19211,19192,15259,14694,15019,16877,100252
"SkyWest Airlines",,,,,,,114229,113623,106769,112631,100337,97877,645466
"Sun Country Airlines",,,,,,,4827,4720,3686,3508,3868,4318,24927
"TACA",,,,,,,6324,7357,3790,3527,4105,5371,30474
"US Airways",,,,,,,84993,83334,70724,74795,61000,55385,430231
"United Airlines",,,,,,,62178,61872,50133,52157,46958,47525,320823
"United Airlines - Pre 07/01/2013",,,,,,,641891,644764,549016,551131,549715,567503,3504020
"Virgin Atlantic",,,,,,,11684,10685,11084,9604,8021,8179,59257
"WestJet Airlines",,,,,,,2480,2300,2050,1326,1268,1156,10580
