operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aeromexico",2893,2517,2834,2832,3106,2635,5072,4733,2921,2901,2570,3257,38271
"Air Berlin",,,,,1830,2161,3217,3706,2911,1325,,,15150
"Air Canada ",18556,17810,19577,19483,23088,27904,37669,37515,25625,24337,17087,18284,286935
"Air China",7271,6053,7187,7014,7196,7082,7627,7410,7151,7145,7188,7148,85472
"Air France",7644,6161,7839,12705,12888,16598,19818,18485,17189,15319,7213,7809,149668
"Air New Zealand",7606,6192,7992,7971,7747,7637,7690,6452,6413,6372,5887,9181,87140
"AirTran Airways",8166,6707,13565,14696,25074,25825,28778,27840,16129,16629,14005,11950,209364
"Alaska Airlines",36552,34444,40235,42156,41040,41217,43872,46814,42544,40925,43682,41214,494695
"All Nippon Airways",7188,5893,5188,4831,5677,6301,7310,7392,6310,6600,6371,6993,76054
"American Airlines",115419,102869,126797,133156,140745,137835,143594,140450,131379,137640,123832,116983,1550699
"Asiana Airlines",4725,3784,4221,5734,6074,7428,8877,8772,7177,6638,6457,6735,76622
"British Airways",16111,13948,16100,18189,18398,18698,20350,19417,18638,19281,15762,16402,211294
"Cathay Pacific",21378,16520,21489,21636,21361,19021,22739,23037,18319,16520,18565,18417,239002
"China Airlines",9940,7065,9506,9713,10718,9535,10928,10577,7291,7014,8332,9056,109675
"Delta Air Lines",102861,91083,115259,112208,122942,137991,148560,151505,130884,126545,112738,105746,1458322
"EVA Airways",12760,8911,11356,10194,11782,12112,13702,15169,9855,10018,10974,10903,137736
"Emirates ",10099,7928,9623,9583,9642,9166,9962,9950,7545,7516,8586,9760,109360
"Frontier Airlines",14537,12454,16134,17004,21591,21290,21702,22642,21567,22150,20680,18397,230148
"Hawaiian Airlines",6851,6179,7663,7634,7468,6824,7470,7582,7084,6963,8020,8279,88017
"Horizon Air ",6886,6243,5953,4799,5211,5201,5549,6262,5054,5003,5556,6064,67781
"Japan Airlines",5806,4653,4480,3845,4235,5086,6461,7521,5739,5455,5555,5411,64247
"JetBlue Airways ",29836,27085,31868,31723,32332,34196,40041,37972,39613,42421,37223,35100,419410
"KLM Royal Dutch Airlines",7215,6293,8306,10482,10516,10747,11724,12029,11977,11561,5535,5598,111983
"Korean Air Lines",4729,3677,4218,4429,6380,6115,7062,7428,6318,5352,5267,5573,66548
"LAN Peru",3685,2940,3218,2558,3009,2613,3301,2690,2209,2159,1889,3396,33667
"Lufthansa German Airlines",17997,14901,16993,16716,21945,23412,26024,24368,23062,22232,16345,15338,239333
"Mesa Airlines",4456,3958,4650,5136,4843,4949,5356,5058,4591,4346,79,,47422
"Mesaba Airlines",,,,1477,9270,8306,9710,3037,634,,,,32434
"Miami Air International",,,81,,123,,,,,,,,204
"Philippine Airlines",12221,10866,10933,11538,11974,9780,11771,11096,7398,7065,8498,7768,120908
"Qantas Airways",4805,3467,4224,5302,1241,,,,,,,,19039
"Servisair",40,,64,,,237,72,114,98,64,,,689
"Singapore Airlines",15392,10712,13400,13554,13059,13866,15778,15470,12530,11708,12190,14783,162442
"SkyWest Airlines",139458,134853,150025,150691,149477,153063,164540,175032,166989,174572,165189,167883,1891772
"Southwest Airlines",117319,106325,120042,120942,133496,131544,135100,134564,124255,126650,122593,123874,1496704
"Sun Country Airlines",480,,,,3455,4667,5520,5044,2944,3083,3160,3451,31804
"Swiss International",5268,4393,5135,6280,6353,6317,6783,6638,6389,6437,5338,5667,70998
"TACA",5690,4171,5283,4863,4945,5225,6501,6817,4450,4065,4819,5039,61868
"US Airways",55630,46737,56921,65593,73749,72684,76782,72551,66541,68725,65083,62801,783797
"United Airlines",57803,48183,58031,63675,73645,78131,85262,91356,77469,80445,76188,79523,869711
"United Airlines - Pre 07/01/2013",458587,412781,491164,491553,549361,600436,630951,618981,567586,574651,524208,558026,6478285
"Virgin America",93303,91919,112310,117648,132594,144299,149530,149203,132164,135397,138537,150542,1547446
"Virgin Atlantic",7349,6255,7916,8915,9739,9522,10817,10625,10619,9901,7104,7920,106682
"WestJet Airlines",,,,,6939,6961,7966,8035,6893,5832,,,42626
