operatingairline,monthlytotal1,monthlytotal2,monthlytotal3,monthlytotal4,monthlytotal5,monthlytotal6,monthlytotal7,monthlytotal8,monthlytotal9,monthlytotal10,monthlytotal11,monthlytotal12,yearlytotal
"Aer Lingus",,,,3525,4124,5426,5598,6010,5512,5234,3858,3956,43243
"Aeromexico",12079,7786,8479,10924,9649,8848,14390,13255,7445,8758,8532,9587,119732
"Air Canada ",21801,20435,22749,24673,31461,36917,46929,45234,36917,31586,20368,26169,365239
"Air China",9318,7196,7659,7791,8038,8116,8858,8641,8187,6838,6666,7713,95021
"Air France",8199,6999,8778,13214,13752,19937,21819,20886,14146,13901,8025,8587,158243
"Air New Zealand",10015,8505,10549,9635,9717,10050,9595,8634,8418,7695,8016,11463,112292
"AirTran Airways",3236,2691,3588,3813,3869,3610,3778,5699,3566,3551,67,,37468
"Alaska Airlines",45698,40664,50979,52207,50638,56917,65803,68330,55737,56602,55667,54575,653817
"All Nippon Airways",7165,5726,6436,6124,6614,6805,7497,7493,6778,6850,6788,7316,81592
"American Airlines",116692,103145,120150,121852,123875,125511,134649,131468,123303,128065,116316,123528,1468554
"Asiana Airlines",8507,6143,7045,8016,8087,8254,8769,8820,8053,7547,7112,7680,94033
"British Airways",17967,15494,17729,17754,18631,18617,19283,19203,18815,18547,15731,16342,214113
"Cathay Pacific",19968,15398,18530,18324,18386,17411,19167,18637,16665,15061,16881,16269,210697
"China Airlines",10878,8923,10557,10860,10295,10315,11584,11213,7979,7089,8104,8423,116220
"China Eastern",6407,4970,5847,6524,6297,6233,5872,6509,6030,4770,4744,4690,68893
"China Southern Airlines Company Limited",,,,,,,,,,,,1326,1326
"Compass Airlines",27506,25550,35739,43069,40320,37881,42577,41767,33630,39622,35245,33935,436841
"Delta Air Lines",94858,88281,114116,116005,128933,147514,163781,160853,125472,133818,110957,116509,1501097
"EVA Airways",15735,12967,14791,12660,15101,14968,18137,17747,14243,13312,14821,16100,180582
"Emirates ",10688,9573,10666,10383,10622,10364,9837,10427,9836,8407,8380,11372,120555
"Etihad Airways",,,,,,,,,,,908,6407,7315
"Frontier Airlines",13887,13283,15423,16115,20044,18956,19236,19777,19152,17331,17601,21222,212027
"Hawaiian Airlines",8709,7418,8464,8608,8287,7829,8397,8776,7320,7865,8394,11376,101443
"Horizon Air ",5143,4365,5098,4584,4847,1054,,,,,,,25091
"Japan Airlines",5281,4045,4421,4715,4678,5057,5627,5621,4942,4923,4228,5186,58724
"JetBlue Airways ",38491,35500,44450,45324,46622,45805,46423,46165,41977,44137,43244,43107,521245
"KLM Royal Dutch Airlines",5776,5289,7129,11882,11722,11811,12307,12468,11965,11188,5932,6745,114214
"Korean Air Lines",7034,5543,5536,6347,6923,6536,7868,8302,7241,6019,5485,6341,79175
"LAN Peru",2821,2152,2578,,,,,,,,,,7551
"Lufthansa German Airlines",17684,14536,18354,17237,22778,24122,25845,25450,23886,23513,21735,19504,254644
"Mesa Airlines",,,,,,,,,4708,5449,4636,3956,18749
"Philippine Airlines",12161,11051,11025,11827,11986,10698,11976,11735,9287,8677,9259,10072,129754
"Republic Airlines",,47,,,,36,,,78,,,52,213
"SAS Airlines",4269,4253,5024,5024,5796,6993,7627,7623,7623,6958,4566,4736,70492
"Singapore Airlines",16020,11941,13608,14199,14516,13862,15997,16270,14398,11215,12043,12910,166979
"SkyWest Airlines",154941,131077,169345,150562,152043,149529,158571,164447,156097,163628,149561,149340,1849141
"Southwest Airlines",119065,101212,130260,136799,142779,154036,157170,152182,139898,144431,134263,136275,1648370
"Sun Country Airlines",3156,2090,2769,3381,5717,6748,9677,9440,6414,6509,5417,7284,68602
"Swiss International",,5590,6280,6437,6596,6449,6757,6606,6502,6625,5536,6044,69422
"Swissport USA",,216,211,,,,,,,,234,,661
"TACA",5791,4809,5483,4987,4969,4984,5488,5966,4634,8970,4847,5454,66382
"US Airways",64876,51793,64902,70367,77836,80670,87381,83821,67778,74235,63907,70220,857786
"United Airlines",665342,592785,711287,764251,801826,825142,880901,876018,750923,772222,675889,724628,9041214
"Virgin America",144345,135119,163753,168141,177598,181907,188685,181091,156914,166823,155913,167818,1988107
"Virgin Atlantic",9793,7214,9673,10484,10870,10666,11242,11091,10873,10597,8243,9439,120185
"WestJet Airlines",,,,932,6756,6560,8719,8543,6897,5485,,,43892
"XL Airways France",,,,,494,2643,2724,2937,,,,,8798
